SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"11143250","CARMEL R NR CARMEL CA","ST","USGS",-121.88050840,36.53912780,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11143250"
"11147070","SANTA RITA C NR TEMPLETON CA","ST","USGS",-120.76600770,35.52386120,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11147070"
"11147098","PASO ROBLES C A GARCIA RD NR TEMPLETON CA","ST","USGS",-120.71385830,35.52613889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11147098"
"11147500","SALINAS R A PASO ROBLES CA","ST","USGS",-120.68433730,35.62858130,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11147500"
"11148900","NACIMIENTO R BL SAPAQUE C NR BRYSON CA","ST","USGS",-121.09380480,35.78857918,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11148900"
"11149400","NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA","ST","USGS",-120.85545800,35.76135678,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11149400"
"11149900","SAN ANTONIO R NR LOCKWOOD CA","ST","USGS",-121.08824910,35.89663404,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11149900"
"11150500","SALINAS R NR BRADLEY CA","ST","USGS",-120.86879150,35.93024340,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11150500"
"11151300","SAN LORENZO C BL BITTERWATER C NR KING CITY CA","ST","USGS",-121.06630300,36.26802087,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11151300"
"11151700","SALINAS R A SOLEDAD CA","ST","USGS",-121.31937380,36.41107600,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11151700"
"11151870","ARROYO SECO NR GREENFIELD CA","ST","USGS",-121.48160270,36.23746164,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11151870"
"11152000","ARROYO SECO NR SOLEDAD CA","ST","USGS",-121.32270630,36.28052076,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11152000"
"11152050","ARROYO SECO BL RELIZ C NR SOLEDAD CA","ST","USGS",-121.32409620,36.39968708,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11152050"
"11152300","SALINAS R NR CHUALAR CA","ST","USGS",-121.54938560,36.55357267,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11152300"
"11152500","SALINAS R NR SPRECKELS CA","ST","USGS",-121.67244600,36.63107100,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11152500"
"11152650","RECLAMATION DITCH NR SALINAS CA","ST-DCH","USGS",-121.70494750,36.70495860,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11152650"
"11153000","PACHECO C NR DUNNEVILLE CA","ST","USGS",-121.38027780,36.98000000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11153000"
"11153650","LLAGAS C NR GILROY","ST","USGS",-121.52716220,36.98744858,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11153650"
"11156500","SAN BENITO R NR WILLOW CREEK SCHOOL CA","ST","USGS",-121.20297970,36.60940609,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11156500"
"11157500","TRES PINOS C NR TRES PINOS CA","ST","USGS",-121.29965320,36.76579177,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11157500"
"11158600","SAN BENITO R BL HOSPITAL RD BRIDGE NR HOLLISTER CA","ST","USGS",-121.39268060,36.81675000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11158600"
"11159000","PAJARO R A CHITTENDEN CA","ST","USGS",-121.59772150,36.90023070,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11159000"
"11159200","CORRALITOS C A FREEDOM CA","ST","USGS",-121.77050650,36.93939680,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11159200"
"11159490","SALSIPUEDES C NR WATSONVILLE CA","ST","USGS",-121.73361100,36.91812220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11159490"
"11159500","PAJARO R A WATSONVILLE CA","ST","USGS",-121.75188890,36.90561110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11159500"
"11159690","APTOS C NR APTOS CA","ST","USGS",-121.90606880,37.00161665,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11159690"
"11160000","SOQUEL C A SOQUEL CA","ST","USGS",-121.95579330,36.99133890,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11160000"
"11160500","SAN LORENZO R A BIG TREES CA","ST","USGS",-122.07246400,37.04439310,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11160500"
"11161000","SAN LORENZO R A SANTA CRUZ CA","ST","USGS",-122.03190760,36.99078320,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11161000"
"11162500","PESCADERO C NR PESCADERO CA","ST","USGS",-122.32886020,37.26077707,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162500"
"11162540","BUTANO C NR PESCADERO CA","ST","USGS",-122.36733890,37.23382500,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162540"
"11162570","SAN GREGORIO C A SAN GREGORIO CA","ST","USGS",-122.38664040,37.32577620,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162570"
"111626182","PILARCITOS C BL SPILLWAY NR HILLSBOROUGH CA","ST","USGS",-122.42088890,37.54769444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=111626182"
"11162619","PILARCITOS C AB STONE DAM NR HILLSBOROUGH CA","ST","USGS",-122.40008330,37.52813889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162619"
"11162620","PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA","ST","USGS",-122.39941770,37.52466087,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162620"
"11162630","PILARCITOS C A HALF MOON BAY CA","ST","USGS",-122.43414200,37.46660747,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162630"
"11162735","SAN MATEO C AB JUNCTION BOX A DAM1 NR HILLSBOROUGH","ST","USGS",-122.41825000,37.55697220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162735"
"11162737","SAN MATEO C BL JUNCTION BOX A DAM1 NR HILLSBOROUGH","ST","USGS",-122.41772220,37.55597220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162737"
"11162753","SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA","ST","USGS",-122.35833330,37.52944444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11162753"
"11164500","SAN FRANCISQUITO C A STANFORD UNIVERSITY CA","ST","USGS",-122.18940950,37.42327257,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11164500"
"11169025","GUADALUPE R ABV HWY 101 A SAN JOSE CA","ST","USGS",-121.93301290,37.37382960,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11169025"
"11169500","SARATOGA C A SARATOGA CA","ST","USGS",-122.03940400,37.25438808,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11169500"
"11169800","COYOTE C NR GILROY CA","ST","USGS",-121.49438320,37.07772286,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11169800"
"11169860","COYOTE C BL COYOTE RES NR SAN MARTIN CA","ST","USGS",-121.55271930,37.12299990,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11169860"
"11170000","COYOTE C NR MADRONE CA","ST","USGS",-121.64966770,37.16827770,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11170000"
"11172175","COYOTE C AB HWY 237 A MILPITAS CA","ST","USGS",-121.92745770,37.42216170,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11172175"
"11172945","ALAMEDA C AB DIV DAM NR SUNOL CA","ST","USGS",-121.77356440,37.49743560,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11172945"
"11172955","ALAMEDA C BL DIV DAM NR SUNOL CA","ST","USGS",-121.77944440,37.49861110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11172955"
"11173200","ARROYO HONDO NR SAN JOSE CA","ST","USGS",-121.76939700,37.46160337,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11173200"
"11173500","CALAVERAS C NR SUNOL CA","ST","USGS",-121.81833330,37.50194444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11173500"
"11173510","ALAMEDA C BL CALAVERAS C NR SUNOL CA","ST","USGS",-121.82467740,37.50354720,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11173510"
"11173575","ALAMEDA C BL WELCH C NR SUNOL CA","ST","USGS",-121.85634500,37.54049080,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11173575"
"11173800","INDIAN C NR SUNOL CA","ST","USGS",-121.79694440,37.56111110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11173800"
"11174000","SAN ANTONIO C NR SUNOL CA","ST","USGS",-121.85773400,37.57743400,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11174000"
"11174160","ALAMEDA C A SUNOL WATER TEMPLE A SUNOL CA","ST","USGS",-121.88529170,37.58362778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11174160"
"11174600","ALAMO CN NR PLEASANTON CA","ST-CA","USGS",-121.91944440,37.69444444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11174600"
"11176340","ARROYO DE LA LAGUNA A CORTE MADRID NR PLEASANTON","ST","USGS",-121.90941670,37.66830556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11176340"
"11176400","ARROYO VALLE BL LANG CYN NR LIVERMORE CA","ST","USGS",-121.68383890,37.56132196,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11176400"
"11176500","ARROYO VALLE NR LIVERMORE CA","ST","USGS",-121.75884180,37.62326509,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11176500"
"11176900","ARROYO DE LA LAGUNA A VERONA CA","ST","USGS",-121.88301260,37.62659915,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11176900"
"11179000","ALAMEDA C NR NILES CA","ST","USGS",-121.96079300,37.58715679,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11179000"
"11179100","ALAMEDA C NR FREMONT CA","ST","USGS",-122.00162780,37.56660245,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11179100"
"11180500","DRY C A UNION CITY CA","ST","USGS",-122.02385040,37.60604520,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11180500"
"11180700","ALAMEDA C FLOOD CHANNEL A UNION CITY CA","ST","USGS",-122.04829550,37.58576818,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11180700"
"11180825","SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA","ST","USGS",-122.04496200,37.69520825,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11180825"
"11180900","CROW C NR HAYWARD CA","ST","USGS",-122.04385080,37.70493008,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11180900"
"11180960","CULL C AB CULL C RES NR CASTRO VALLEY CA","ST","USGS",-122.05436730,37.71767150,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11180960"
"11181000","SAN LORENZO C A HAYWARD CA","ST","USGS",-122.06440700,37.68548644,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11181000"
"11181008","CASTRO VALLEY C A HAYWARD CA","ST","USGS",-122.08051860,37.67993110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11181008"
"11181040","SAN LORENZO C A SAN LORENZO CA","ST","USGS",-122.13996490,37.68409770,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11181040"
"11182500","SAN RAMON C A SAN RAMON CA","ST","USGS",-121.99468250,37.77298300,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11182500"
"11189500","SF KERN R NR ONYX CA","ST","USGS",-118.17368900,35.73745160,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11189500"
"11200800","DEER C NR FOUNTAIN SPRINGS CA","ST","USGS",-118.82287020,35.94161745,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11200800"
"11203580","SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA","ST","USGS",-118.65425560,36.04828125,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11203580"
"11204100","SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA","ST","USGS",-118.81342580,36.02411648,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11204100"
"11206820","MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA","ST","USGS",-118.70166670,36.61166667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11206820"
"11224000","MF SAN JOAQUIN R NR MAMMOTH LAKES CA","ST","USGS",-119.08638890,37.63194444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11224000"
"11224500","LOS GATOS C AB NUNEZ CYN NR COALINGA CA","ST","USGS",-120.47071160,36.21467719,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11224500"
"11251000","SAN JOAQUIN R BL FRIANT CA","ST","USGS",-119.72431240,36.98439397,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11251000"
"11253310","CANTUA C NR CANTUA CREEK CA","ST","USGS",-120.43349170,36.40217399,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11253310"
"11255575","PANOCHE C A I-5 NR SILVER CREEK CA","ST","USGS",-120.63211860,36.65245145,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11255575"
"11261100","SALT SLOUGH A HWY 165 NR STEVINSON CA","ST","USGS",-120.85214460,37.24771864,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11261100"
"11261500","SAN JOAQUIN R A FREMONT FORD BRIDGE CA","ST","USGS",-120.93103690,37.30993860,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11261500"
"11262900","MUD SLOUGH NR GUSTINE CA","ST","USGS",-120.90659080,37.26244000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11262900"
"11264500","MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA","ST","USGS",-119.55905140,37.73131496,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11264500"
"11266500","MERCED R A POHONO BRIDGE NR YOSEMITE CA","ST","USGS",-119.66566670,37.71627778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11266500"
"11273400","SAN JOAQUIN R AB MERCED R NR NEWMAN CA","ST","USGS",-120.97617770,37.34721510,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11273400"
"11274000","SAN JOAQUIN R NR NEWMAN CA","ST","USGS",-120.97715000,37.35049280,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11274000"
"11274500","ORESTIMBA C NR NEWMAN CA","ST","USGS",-121.12520810,37.31549247,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11274500"
"11274550","SAN JOAQUIN R NR CROWS LANDING CA","ST","USGS",-121.01334440,37.43218889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11274550"
"11274630","DEL PUERTO C NR PATTERSON CA","ST","USGS",-121.20910260,37.48659935,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11274630"
"11274790","TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY","ST","USGS",-119.65989380,37.91658840,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11274790"
"11276500","TUOLUMNE R NR HETCH HETCHY CA","ST","USGS",-119.79823260,37.93742147,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11276500"
"11276600","TUOLUMNE R AB EARLY INTAKE NR MATHER CA","ST","USGS",-119.94712600,37.87936848,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11276600"
"11276900","TUOLUMNE R BL EARLY INTAKE NR MATHER CA","ST","USGS",-119.97018240,37.88159080,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11276900"
"11277300","CHERRY C BL VALLEY DAM NR HETCH HETCHY CA","ST","USGS",-119.91740290,37.96769944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11277300"
"11278000","ELEANOR C NR HETCH HETCHY CA","ST","USGS",-119.88212400,37.96908800,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11278000"
"11278300","CHERRY C NR EARLY INTAKE CA","ST","USGS",-119.96268200,37.89436824,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11278300"
"11278400","CHERRY C BL DION R HOLM PH NR MATHER CA","ST","USGS",-119.96990460,37.89020170,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11278400"
"11284400","BIG C AB WHITES GULCH NR GROVELAND CA","ST","USGS",-120.18491030,37.84187140,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11284400"
"11289000","MODESTO CN NR LA GRANGE CA","ST","USGS",-120.47491830,37.67243198,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11289000"
"11289500","TURLOCK CN NR LA GRANGE CA","ST","USGS",-120.44102830,37.66576548,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11289500"
"11289650","TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA","ST","USGS",-120.44213940,37.66632100,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11289650"
"11289850","DRY C A CRABTREE RD NR LA GRANGE CA","ST","USGS",-120.60980280,37.71144167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11289850"
"11290000","TUOLUMNE R A MODESTO CA","ST","USGS",-120.98437770,37.62715300,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11290000"
"11299600","BLACK C NR COPPEROPOLIS CA","ST","USGS",-120.61520350,37.96103615,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11299600"
"11303000","STANISLAUS R A RIPON CA","ST","USGS",-121.11049340,37.72965078,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11303000"
"11303500","SAN JOAQUIN R NR VERNALIS CA","ST","USGS",-121.26632930,37.67604060,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11303500"
"11304810","SAN JOAQUIN R BL GARWOOD BRIDGE A STOCKTON CA","ST","USGS",-121.33022450,37.93547987,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11304810"
"11311300","TURNER CUT NR HOLT CA","ST","USGS",-121.45388890,37.99250000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11311300"
"11312672","VICTORIA CANAL NR BYRON CA","ST-CA","USGS",-121.53000000,37.87083330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11312672"
"11312676","MIDDLE R AT MIDDLE RIVER CA","ST","USGS",-121.53411750,37.94270170,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11312676"
"11312685","MIDDLE R NR HOLT CA","ST","USGS",-121.51083330,38.00305556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11312685"
"11312968","OLD R NR DELTA MENDOTA CANAL CA","ST","USGS",-121.54244880,37.81048298,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11312968"
"11313240","GRANT LINE CN NR TRACY CA","ST","USGS",-121.54472220,37.82000000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313240"
"11313315","OLD RIVER NEAR BYRON CA","ST","USGS",-121.57022830,37.89103627,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313315"
"11313405","OLD R A BACON ISLAND CA","ST","USGS",-121.57217400,37.96992306,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313405"
"11313431","HOLLAND CUT NR BETHEL ISLAND CA","ST","USGS",-121.58194440,38.01638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313431"
"11313433","DUTCH SLOUGH BL JERSEY ISLAND RD A JERSEY ISLAND","ST","USGS",-121.66773100,38.01353260,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313433"
"11313434","OLD R A QUIMBY ISLAND NR BETHEL ISLAND CA","ST","USGS",-121.56444440,38.02722220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313434"
"11313440","FALSE R NR OAKLEY CA","ST","USGS",-121.66694440,38.05583330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313440"
"11313452","OLD R A FRANKS TRACT NR TERMINOUS CA","ST","USGS",-121.57888890,38.07111110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313452"
"11313460","SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA","ST","USGS",-121.55722220,38.05944444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11313460"
"11335000","COSUMNES R A MICHIGAN BAR CA","ST","USGS",-121.04522120,38.50018619,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11335000"
"11336600","DELTA CROSS CHANNEL NR WALNUT GROVE","ST","USGS",-121.50527780,38.24472220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11336600"
"11336680","S MOKELUMNE R A NEW HOPE BR NR WALNUT GROVE CA","ST","USGS",-121.49111100,38.22555556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11336680"
"11336685","N MOKELUMNE NR WALNUT GROVE CA","ST","USGS",-121.50722220,38.22333330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11336685"
"11336790","LITTLE POTATO SLOUGH A TERMINOUS CA","ST","USGS",-121.49611100,38.09638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11336790"
"11336930","MOKELUMNE R A ANDRUS ISLAND NR TERMINOUS CA","ST","USGS",-121.57721940,38.10851944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11336930"
"11336955","SAN JOAQUIN R A CHANNEL MARKER 42 NR ISELTON CA","ST","USGS",-121.60268600,38.10065278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11336955"
"11337080","THREEMILE SLOUGH NR RIO VISTA CA","ST","USGS",-121.68611100,38.10333330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11337080"
"11337190","SAN JOAQUIN R A JERSEY POINT CA","ST","USGS",-121.68884280,38.05214240,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11337190"
"11342000","SACRAMENTO R A DELTA CA","ST","USGS",-122.41723510,40.93959397,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11342000"
"11345500","SF PIT R NR LIKELY CA","ST","USGS",-120.43717260,41.23072860,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11345500"
"11348500","PIT R NR CANBY CA","ST","USGS",-120.92774580,41.40600116,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11348500"
"11355010","PIT R BL PIT NO 1 PH NR FALL RIVER MILLS CA","ST","USGS",-121.51192700,40.98321780,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11355010"
"11370500","SACRAMENTO R A KESWICK CA","ST","USGS",-122.44445530,40.60098350,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11370500"
"11370700","ANDERSON-COTTONWOOD ID CN AT SHARON AVE REDDING CA","ST","USGS",-122.38139700,40.56876198,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11370700"
"11372000","CLEAR C NR IGO CA","ST","USGS",-122.52417950,40.51320587,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11372000"
"11374000","COW C NR MILLVILLE CA","ST","USGS",-122.23305770,40.50487467,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11374000"
"11376000","COTTONWOOD C NR COTTONWOOD CA","ST","USGS",-122.23861190,40.38709797,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11376000"
"11376550","BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA","ST","USGS",-122.14638690,40.39820996,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11376550"
"11377100","SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA","ST","USGS",-122.18666450,40.28848836,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11377100"
"11379500","ELDER C NR PASKENTA CA","ST","USGS",-122.51194620,40.02376507,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11379500"
"11381500","MILL C NR LOS MOLINOS CA","ST","USGS",-122.02415410,40.05460220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11381500"
"11383500","DEER C NR VINA CA","ST","USGS",-121.94828720,40.01402140,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11383500"
"11389500","SACRAMENTO R A COLUSA CA","ST","USGS",-122.00025080,39.21405660,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11389500"
"11390000","BUTTE C NR CHICO CA","ST","USGS",-121.70886430,39.72599524,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11390000"
"11390500","SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA","ST","USGS",-121.82469000,39.00989476,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11390500"
"11401920","SPANISH C A QUINCY CA","ST","USGS",-120.94250000,39.94583330,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11401920"
"11402000","SPANISH C AB BLACKHAWK C AT KEDDIE CA","ST","USGS",-120.95439940,40.00294700,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11402000"
"11413000","N YUBA R BL GOODYEARS BAR CA","ST","USGS",-120.93800680,39.52489370,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11413000"
"11418500","DEER C NR SMARTSVILLE CA","ST","USGS",-121.26856970,39.22433764,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11418500"
"11421000","YUBA R NR MARYSVILLE CA","ST","USGS",-121.52496470,39.17572510,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11421000"
"11424000","BEAR R NR WHEATLAND CA","ST","USGS",-121.40662380,39.00017270,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=11424000"
